MUNI_CD,pref,county,city,ward,lon,lat
01101,北海道,,札幌市,中央区,141.35389,43.061414
01102,北海道,,札幌市,北区,141.340882,43.090693
01103,北海道,,札幌市,東区,141.363662,43.076242
01104,北海道,,札幌市,白石区,141.396521,43.045637
01105,北海道,,札幌市,豊平区,141.379974,43.03137
01106,北海道,,札幌市,南区,141.353496,42.989995
01107,北海道,,札幌市,西区,141.300898,43.074347
01108,北海道,,札幌市,厚別区,141.474733,43.036213
01109,北海道,,札幌市,手稲区,141.24578200000002,43.121972
01110,北海道,,札幌市,清田区,141.443842,42.999432
01202,北海道,,函館市,,140.729108,41.768712
01203,北海道,,小樽市,,140.9946054,43.19075267
01204,北海道,,旭川市,,142.365314,43.771404
01205,北海道,,室蘭市,,140.973784,42.315204
01206,北海道,,釧路市,,144.38167,42.984856
01207,北海道,,帯広市,,143.196195,42.924014
01208,北海道,,北見市,,143.894806,43.803066
01209,北海道,,夕張市,,141.974069,43.056814
01210,北海道,,岩見沢市,,141.775857,43.196169
01211,北海道,,網走市,,144.273422,44.020631
01212,北海道,,留萌市,,141.637009,43.940987
01213,北海道,,苫小牧市,,141.605503,42.634094
01214,北海道,,稚内市,,141.673082,45.415675
01215,北海道,,美唄市,,141.853986,43.332951
01216,北海道,,芦別市,,142.189552,43.51821
01217,北海道,,江別市,,141.536103,43.103666
01218,北海道,,赤平市,,142.044223,43.558039
01219,北海道,,紋別市,,143.354279,44.356332
01220,北海道,,士別市,,142.400182,44.178626
01221,北海道,,名寄市,,142.463134,44.355924
01222,北海道,,三笠市,,141.875342,43.245622
01223,北海道,,根室市,,145.582903,43.330036
01224,北海道,,千歳市,,141.651139,42.821124
01225,北海道,,滝川市,,141.910371,43.557753
01226,北海道,,砂川市,,141.902504,43.494254
01227,北海道,,歌志内市,,142.035353,43.521682
01228,北海道,,深川市,,142.053528,43.723184
01229,北海道,,富良野市,,142.383104,43.342024
01230,北海道,,登別市,,141.106556,42.412735
01231,北海道,,恵庭市,,141.577799,42.882592
01233,北海道,,伊達市,,140.86470200000002,42.471898
01234,北海道,,北広島市,,141.563625,42.985663
01235,北海道,,石狩市,,141.315514,43.171365
01236,北海道,,北斗市,,140.653067,41.824174
01303,北海道,石狩郡,当別町,,141.5170027,43.22363701
01304,北海道,石狩郡,新篠津村,,141.649247,43.22536800000001
01331,北海道,松前郡,松前町,,140.110403,41.429981
01332,北海道,松前郡,福島町,,140.251315,41.483783
01333,北海道,上磯郡,知内町,,140.418861,41.598377
01334,北海道,上磯郡,木古内町,,140.437635,41.678332
01337,北海道,亀田郡,七飯町,,140.694405,41.895711
01343,北海道,茅部郡,鹿部町,,140.831691,42.026623
01345,北海道,茅部郡,森町,,140.576446,42.104992
01346,北海道,二海郡,八雲町,,140.265224,42.255918
01347,北海道,山越郡,長万部町,,140.380344,42.513488
01361,北海道,檜山郡,江差町,,140.12756,41.869244
01362,北海道,檜山郡,上ノ国町,,140.121398,41.80104200000001
01363,北海道,檜山郡,厚沢部町,,140.225475,41.920895
01364,北海道,爾志郡,乙部町,,140.13546,41.968504
01367,北海道,奥尻郡,奥尻町,,139.514121,42.17226
01370,北海道,瀬棚郡,今金町,,140.008766,42.429373
01371,北海道,久遠郡,せたな町,,139.882999,42.417145
01391,北海道,島牧郡,島牧村,,140.061454,42.700471
01392,北海道,寿都郡,寿都町,,140.228891,42.790984
01393,北海道,寿都郡,黒松内町,,140.307739,42.667788
01394,北海道,磯谷郡,蘭越町,,140.528346,42.809205
01395,北海道,虻田郡,ニセコ町,,140.68801,42.805036
01396,北海道,虻田郡,真狩村,,140.803669,42.762955
01397,北海道,虻田郡,留寿都村,,140.875574,42.737263
01398,北海道,虻田郡,喜茂別町,,140.934532,42.795439
01399,北海道,虻田郡,京極町,,140.883999,42.858216
01400,北海道,虻田郡,倶知安町,,140.758878,42.901752
01401,北海道,岩内郡,共和町,,140.611175,42.980407
01402,北海道,岩内郡,岩内町,,140.514729,42.979778
01403,北海道,古宇郡,泊村,,140.498857,43.063212
01404,北海道,古宇郡,神恵内村,,140.430776,43.143348
01405,北海道,積丹郡,積丹町,,140.598001,43.29871
01406,北海道,古平郡,古平町,,140.638711,43.264027
01407,北海道,余市郡,仁木町,,140.766168,43.151675
01408,北海道,余市郡,余市町,,140.783542,43.195343
01409,北海道,余市郡,赤井川村,,140.81364,43.083479
01423,北海道,空知郡,南幌町,,141.65033,43.063739
01424,北海道,空知郡,奈井江町,,141.882816,43.42535300000001
01425,北海道,空知郡,上砂川町,,141.984064,43.482538
01427,北海道,夕張郡,由仁町,,141.790309,42.999598
01428,北海道,夕張郡,長沼町,,141.695367,43.01034
01429,北海道,夕張郡,栗山町,,141.784099,43.05629
01430,北海道,樺戸郡,月形町,,141.669604,43.338397
01431,北海道,樺戸郡,浦臼町,,141.818727,43.430363
01432,北海道,樺戸郡,新十津川町,,141.877009,43.5485
01433,北海道,雨竜郡,妹背牛町,,141.961606,43.700093
01434,北海道,雨竜郡,秩父別町,,141.957896,43.767
01436,北海道,雨竜郡,雨竜町,,141.889036,43.643943
01437,北海道,雨竜郡,北竜町,,141.879409,43.731426
01438,北海道,雨竜郡,沼田町,,141.933817,43.806740000000005
01452,北海道,上川郡,鷹栖町,,142.354382,43.843321
01453,北海道,上川郡,東神楽町,,142.451571,43.69630300000001
01454,北海道,上川郡,当麻町,,142.508388,43.828201
01455,北海道,上川郡,比布町,,142.477699,43.875021
01456,北海道,上川郡,愛別町,,142.577822,43.906679
01457,北海道,上川郡,上川町,,142.770459,43.847128
01458,北海道,上川郡,東川町,,142.510128,43.698877
01459,北海道,上川郡,美瑛町,,142.467055,43.588279
01460,北海道,空知郡,上富良野町,,142.467112,43.455614
01461,北海道,空知郡,中富良野町,,142.425034,43.405576
01462,北海道,空知郡,南富良野町,,142.568522,43.164088
01463,北海道,勇払郡,占冠村,,142.398526,42.979836
01464,北海道,上川郡,和寒町,,142.413383,44.023119
01465,北海道,上川郡,剣淵町,,142.361007,44.095746
01468,北海道,上川郡,下川町,,142.635219,44.302576
01469,北海道,中川郡,美深町,,142.34296300000003,44.480994
01470,北海道,中川郡,音威子府村,,142.262458,44.725096
01471,北海道,中川郡,中川町,,142.071409,44.811488
01472,北海道,雨竜郡,幌加内町,,142.153828,44.009812
01481,北海道,増毛郡,増毛町,,141.524978,43.856063
01482,北海道,留萌郡,小平町,,141.662828,44.015141
01483,北海道,苫前郡,苫前町,,141.652932,44.306086
01484,北海道,苫前郡,羽幌町,,141.697249,44.36061
01485,北海道,苫前郡,初山別村,,141.766342,44.532149
01486,北海道,天塩郡,遠別町,,141.792322,44.722462
01487,北海道,天塩郡,天塩町,,141.745324,44.888121
01511,北海道,宗谷郡,猿払村,,142.108945,45.33061
01512,北海道,枝幸郡,浜頓別町,,142.35964,45.123716
01513,北海道,枝幸郡,中頓別町,,142.286705,44.96971
01514,北海道,枝幸郡,枝幸町,,142.581405,44.9387
01516,北海道,天塩郡,豊富町,,141.777508,45.102847
01517,北海道,礼文郡,礼文町,,141.047717,45.303062
01518,北海道,利尻郡,利尻町,,141.139597,45.187041
01519,北海道,利尻郡,利尻富士町,,141.214719,45.247459
01520,北海道,天塩郡,幌延町,,141.849386,45.017635
01543,北海道,網走郡,美幌町,,144.107151,43.823721000000006
01544,北海道,網走郡,津別町,,144.024803,43.706316
01545,北海道,斜里郡,斜里町,,144.670713,43.911441
01546,北海道,斜里郡,清里町,,144.594582,43.835224
01547,北海道,斜里郡,小清水町,,144.462554,43.857067
01549,北海道,常呂郡,訓子府町,,143.741665,43.725328
01550,北海道,常呂郡,置戸町,,143.586402,43.676328
01552,北海道,常呂郡,佐呂間町,,143.774714,44.017859
01555,北海道,紋別郡,遠軽町,,143.527726,44.061947
01559,北海道,紋別郡,湧別町,,143.572919,44.151465
01560,北海道,紋別郡,滝上町,,143.07765,44.19227
01561,北海道,紋別郡,興部町,,143.123699,44.469874
01562,北海道,紋別郡,西興部村,,142.944445,44.328833
01563,北海道,紋別郡,雄武町,,142.961863,44.582482
01564,北海道,網走郡,大空町,,144.172473,43.911858
01571,北海道,虻田郡,豊浦町,,140.711815,42.583464
01575,北海道,有珠郡,壮瞥町,,140.885472,42.552556
01578,北海道,白老郡,白老町,,141.355861,42.551259
01581,北海道,勇払郡,厚真町,,141.877841,42.723566
01584,北海道,虻田郡,洞爺湖町,,140.764128,42.551223
01585,北海道,勇払郡,安平町,,141.818047,42.762798
01586,北海道,勇払郡,むかわ町,,141.926761,42.574741
01601,北海道,沙流郡,日高町,,142.07435900000002,42.480318
01602,北海道,沙流郡,平取町,,142.128525,42.585098
01604,北海道,新冠郡,新冠町,,142.318315,42.362417
01607,北海道,浦河郡,浦河町,,142.768213,42.168355
01608,北海道,様似郡,様似町,,142.933797,42.127737
01609,北海道,幌泉郡,えりも町,,143.148348,42.016298
01610,北海道,日高郡,新ひだか町,,142.368588,42.341276
01631,北海道,河東郡,音更町,,143.197869,42.994115
01632,北海道,河東郡,士幌町,,143.241344,43.168047
01633,北海道,河東郡,上士幌町,,143.296243,43.232615
01634,北海道,河東郡,鹿追町,,142.989028,43.098876
01635,北海道,上川郡,新得町,,142.838822,43.079741
01636,北海道,上川郡,清水町,,142.884568,43.011423
01637,北海道,河西郡,芽室町,,143.050807,42.91189
01638,北海道,河西郡,中札内村,,143.134453,42.697734
01639,北海道,河西郡,更別村,,143.187794,42.650415
01641,北海道,広尾郡,大樹町,,143.27891,42.497525
01642,北海道,広尾郡,広尾町,,143.311498,42.285841
01643,北海道,中川郡,幕別町,,143.356085,42.908198
01644,北海道,中川郡,池田町,,143.448472,42.92898
01645,北海道,中川郡,豊頃町,,143.5059,42.801023
01646,北海道,中川郡,本別町,,143.610962,43.124615
01647,北海道,足寄郡,足寄町,,143.55393,43.244786
01648,北海道,足寄郡,陸別町,,143.747305,43.468914
01649,北海道,十勝郡,浦幌町,,143.658581,42.808947
01661,北海道,釧路郡,釧路町,,144.466081,42.996124
01662,北海道,厚岸郡,厚岸町,,144.847443,43.051951
01663,北海道,厚岸郡,浜中町,,145.131133,43.075949
01664,北海道,川上郡,標茶町,,144.600665,43.303337
01665,北海道,川上郡,弟子屈町,,144.459223,43.485352
