PREF,MUNI_CD,MUNI_NAME,SEQ,ADR,USE_PDF,USE_SRC,GC_LEVEL,GC_METHOD,GC_LAT,GC_LON,TRUTH_LAT,TRUTH_LON,IN_MUNI,ERROR_KM
01,01104,札幌市,1,米里3条3丁目,5,5,town,A_normalize,43.077628,141.426688,43.079714,141.42775,True,0.247
01,01107,札幌市,2,発寒8条10丁目,2,2,town,A_normalize,43.093519,141.282186,43.096385,141.281249,True,0.328
01,01108,札幌市,3,大谷地東1丁目,2,2,town,A_normalize,43.030280,141.449883,43.029203,141.446239,True,0.319
01,01204,旭川市,1,永山町11丁目,3,3,town,A_normalize,43.802664,142.456682,43.816981,142.435257,True,2.343
01,01206,釧路市,2,大楽毛,3,3,town,A_normalize,43.016294,144.252766,43.021641,144.259085,True,0.786
01,01207,帯広市,3,西20条北2丁目25番,3,3,town,A_normalize,42.936109,143.145320,42.938403,143.142672,True,0.334
01,01208,北見市,4,仁頃地内,3,3,town,A_normalize,43.895527,143.905766,43.893485,143.908497,True,0.315
01,01208,北見市,5,端野町緋牛内,2,2,town,A_normalize,43.899517,144.019008,43.885591,143.998985,True,2.23
01,01224,千歳市,6,流通3丁目地内,2,2,town,A_normalize,42.828359,141.686549,42.831702,141.687013,True,0.374
01,01226,砂川市,7,空知太東1条3丁目,3,3,town,A_normalize,43.531794,141.919611,43.531288,141.919476,True,0.057
01,01229,富良野市,8,字西扇山の1地内,2,2,town,A_normalize,43.323248,142.397743,43.325563,142.401161,True,0.378
01,01229,富良野市,9,字北扇山,1,1,town,A_normalize,43.326863,142.414629,43.3229,142.420135,True,0.627
01,01229,富良野市,10,鳥沼,1,1,city,A_city_fallback,43.342024,142.383104,43.347756,142.441799,True,4.789
01,01231,恵庭市,11,戸磯201-18地内,2,2,town,A_normalize,42.873988,141.606348,42.885996,141.603272,True,1.359
01,01460,上富良野町,1,1587番,2,2,city,A_city_fallback,43.455614,142.467112,43.475941,142.564193,True,8.154
01,01460,上富良野町,2,東12線北地内,4,4,city,A_city_fallback,43.455614,142.467112,43.409367,142.526625,True,7.038
01,01487,天塩町,3,中産土,1,1,city,A_city_fallback,44.888121,141.745324,44.93622,141.830172,True,8.559
01,01487,天塩町,4,南雄信内,1,1,town,A_normalize,44.795986,141.922703,44.789806,141.930174,True,0.905
01,01519,利尻富士町,5,鬼脇字旭浜鰊泊,5,5,town,A_normalize,45.187957,141.299364,45.199925,141.311417,True,1.632
01,01519,利尻富士町,6,鬼脇字旭浜鰊泊,5,5,town,A_normalize,45.187957,141.299364,45.193336,141.316935,True,1.501
01,01519,利尻富士町,7,鬼脇字旭浜鰊泊,5,5,town,A_normalize,45.187957,141.299364,45.189924,141.317282,True,1.421
01,01578,白老町,8,竹浦,4,4,town,A_normalize,42.547084,141.167725,42.522225,141.249148,True,7.221
01,01631,音更町,9,新通20丁目,3,3,town,A_normalize,42.978658,143.208814,42.981766,143.210143,True,0.362
01,01631,音更町,10,新通20丁目,3,3,town,A_normalize,42.978658,143.208814,42.981612,143.205484,True,0.426
01,01631,音更町,11,中音更西3線,1,1,town,A_normalize,43.129279,143.177815,43.12104,143.173969,True,0.968
01,01636,清水町,12,御影,1,1,town,A_normalize,42.964841,142.951460,42.941909,142.946557,True,2.581
01,01692,中標津町,13,計根別,5,5,town,A_normalize,43.490691,144.790109,43.475395,144.81487,False,2.624
02,02201,青森市,1,富田3丁目235-50地内,5,5,town,A_normalize,40.833134,140.711691,40.834194,140.709798,True,0.198
02,02205,五所川原市,2,大字金山字盛山,1,1,city,A_city_fallback,40.807695,140.446075,40.807199,140.492338,True,3.894
02,02205,五所川原市,3,大字高瀬地内,3,3,town,A_normalize,40.837704,140.417425,40.830201,140.419189,True,0.847
02,02207,三沢市,4,大字三沢字猫又,5,5,city,A_city_fallback,40.683078,141.369093,40.686178,141.350458,True,1.609
02,02209,つがる市,5,森田町月見野,1,1,city,A_city_fallback,40.808836,140.380195,40.814256,140.34636,True,2.911
02,02387,中泊町,6,大字尾別地内,1,1,town,A_normalize,40.987595,140.435118,40.982974,140.435869,True,0.518
02,02411,六ヶ所村,7,大字鷹架内子内,5,5,city,A_city_fallback,40.967375,141.374434,40.918645,141.336255,True,6.296
02,02423,大間町,8,大字大間字内山,2,2,city,A_city_fallback,41.522371,140.904830,41.517192,140.922937,True,1.614
02,02450,新郷村,9,大字戸来重堂地内,4,4,city,A_city_fallback,40.465784,141.173400,40.473603,141.176201,True,0.901
04,04101,仙台市,1,荒巻字青葉,2,2,city,A_city_fallback,38.269087,140.870378,38.257682,140.830147,True,3.734
04,04101,仙台市,2,荒巻字青葉,2,2,city,A_city_fallback,38.269087,140.870378,38.256937,140.829205,True,3.84
04,04102,仙台市,3,榴岡1丁目,3,3,town,A_normalize,38.259017,140.884867,38.257752,140.88675,True,0.216
04,04212,登米市,4,東和町米谷,4,4,town,A_normalize,38.714369,141.316638,38.73866,141.313381,True,2.716
04,04213,栗原市,5,栗駒沼倉地,2,2,town,A_normalize,38.914641,140.851516,38.913038,140.862803,True,0.993
04,04214,東松島市,6,矢本字大溜,2,2,city,A_city_fallback,38.426134,141.210278,38.427961,141.212752,True,0.296
04,04215,大崎市,7,岩出山下野目字八幡前,3,3,city,A_city_fallback,38.577132,140.955565,38.626714,140.901363,True,7.251
04,04421,大和町,8,鶴巣大平字勝負沢,3,3,city,A_city_fallback,38.437330,140.886309,38.416246,140.968786,True,7.557
05,05203,横手市,1,婦気前地内,5,5,town,A_normalize,39.304931,140.552703,39.308608,140.550302,True,0.458
05,05203,横手市,2,駅条里地内,5,5,city,A_city_fallback,39.313777,140.566636,39.308612,140.551407,True,1.431
05,05203,横手市,3,雄物川町薄井,5,5,town,A_normalize,39.319421,140.437454,39.325341,140.446315,True,1.007
