PREF,MUNI_CD,MUNI_NAME,SEQ,USE,TRUTH_LON,TRUTH_LAT,IN_MUNI,MUNI_DIST_KM,PAIR_PT,FIT_RES_M,INIT
01,01104,札幌市,1,5,141.42775,43.079714,True,0.0,11.8,134.0,縮尺固定 1.0594km/pt+2次
01,01107,札幌市,2,2,141.281249,43.096385,True,0.0,38.4,134.0,縮尺固定 1.0594km/pt+2次
01,01108,札幌市,3,2,141.446239,43.029203,True,0.0,9.2,134.0,縮尺固定 1.0594km/pt+2次
01,01204,旭川市,1,3,142.435257,43.816981,True,0.0,12.1,134.0,縮尺固定 1.0594km/pt+2次
01,01206,釧路市,2,3,144.259085,43.021641,True,0.0,11.8,134.0,縮尺固定 1.0594km/pt+2次
01,01207,帯広市,3,3,143.142672,42.938403,True,0.0,17.4,134.0,縮尺固定 1.0594km/pt+2次
01,01208,北見市,4,3,143.908497,43.893485,True,0.0,38.5,134.0,縮尺固定 1.0594km/pt+2次
01,01208,北見市,5,2,143.998985,43.885591,True,0.0,12.1,134.0,縮尺固定 1.0594km/pt+2次
01,01224,千歳市,6,2,141.687013,42.831702,True,0.0,5.6,134.0,縮尺固定 1.0594km/pt+2次
01,01226,砂川市,7,3,141.919476,43.531288,True,0.0,12.0,134.0,縮尺固定 1.0594km/pt+2次
01,01229,富良野市,8,2,142.401161,43.325563,True,0.0,61.6,134.0,縮尺固定 1.0594km/pt+2次
01,01229,富良野市,9,1,142.420135,43.3229,True,0.0,19.3,134.0,縮尺固定 1.0594km/pt+2次
01,01229,富良野市,10,1,142.441799,43.347756,True,0.0,66.4,134.0,縮尺固定 1.0594km/pt+2次
01,01231,恵庭市,11,2,141.603272,42.885996,True,0.0,48.6,134.0,縮尺固定 1.0594km/pt+2次
01,01460,上富良野町,1,2,142.564193,43.475941,True,0.0,7.2,134.0,縮尺固定 1.0594km/pt+2次
01,01460,上富良野町,2,4,142.526625,43.409367,True,0.0,6.4,134.0,縮尺固定 1.0594km/pt+2次
01,01487,天塩町,3,1,141.830172,44.93622,True,0.0,12.1,134.0,縮尺固定 1.0594km/pt+2次
01,01487,天塩町,4,1,141.930174,44.789806,True,0.0,12.3,134.0,縮尺固定 1.0594km/pt+2次
01,01519,利尻富士町,5,5,141.311417,45.199925,True,0.0,28.3,134.0,縮尺固定 1.0594km/pt+2次
01,01519,利尻富士町,6,5,141.316935,45.193336,True,0.0,18.3,134.0,縮尺固定 1.0594km/pt+2次
01,01519,利尻富士町,7,5,141.317282,45.189924,True,0.0,14.9,134.0,縮尺固定 1.0594km/pt+2次
01,01578,白老町,8,4,141.249148,42.522225,True,0.0,11.8,134.0,縮尺固定 1.0594km/pt+2次
01,01631,音更町,9,3,143.210143,42.981766,True,0.0,17.0,134.0,縮尺固定 1.0594km/pt+2次
01,01631,音更町,10,3,143.205484,42.981612,True,0.0,20.6,134.0,縮尺固定 1.0594km/pt+2次
01,01631,音更町,11,1,143.173969,43.12104,True,0.0,11.8,134.0,縮尺固定 1.0594km/pt+2次
01,01636,清水町,12,1,142.946557,42.941909,True,0.0,43.1,134.0,縮尺固定 1.0594km/pt+2次
01,01692,中標津町,13,5,144.81487,43.475395,False,0.074,86.4,134.0,縮尺固定 1.0594km/pt+2次
02,02201,青森市,1,5,140.709798,40.834194,True,0.0,13.7,37.0,ラベル重心+アフィン+2次
02,02205,五所川原市,2,1,140.492338,40.807199,True,0.0,13.7,37.0,ラベル重心+アフィン+2次
02,02205,五所川原市,3,3,140.419189,40.830201,True,0.0,35.6,37.0,ラベル重心+アフィン+2次
02,02207,三沢市,4,5,141.350458,40.686178,True,0.0,13.7,37.0,ラベル重心+アフィン+2次
02,02209,つがる市,5,1,140.34636,40.814256,True,0.0,51.9,37.0,ラベル重心+アフィン+2次
02,02387,中泊町,6,1,140.435869,40.982974,True,0.0,14.1,37.0,ラベル重心+アフィン+2次
02,02411,六ヶ所村,7,5,141.336255,40.918645,True,0.0,13.7,37.0,ラベル重心+アフィン+2次
02,02423,大間町,8,2,140.922937,41.517192,True,0.0,14.1,37.0,ラベル重心+アフィン+2次
02,02450,新郷村,9,4,141.176201,40.473603,True,0.0,13.7,37.0,ラベル重心+アフィン+2次
04,04101,仙台市,1,2,140.830147,38.257682,True,0.0,65.2,27.0,縮尺固定 0.2291km/pt+2次
04,04101,仙台市,2,2,140.829205,38.256937,True,0.0,63.8,27.0,縮尺固定 0.2291km/pt+2次
04,04102,仙台市,3,3,140.88675,38.257752,True,0.0,9.4,27.0,縮尺固定 0.2291km/pt+2次
04,04212,登米市,4,4,141.313381,38.73866,True,0.0,13.7,27.0,縮尺固定 0.2291km/pt+2次
04,04213,栗原市,5,2,140.862803,38.913038,True,0.0,13.7,27.0,縮尺固定 0.2291km/pt+2次
04,04214,東松島市,6,2,141.212752,38.427961,True,0.0,13.7,27.0,縮尺固定 0.2291km/pt+2次
04,04215,大崎市,7,3,140.901363,38.626714,True,0.0,13.7,27.0,縮尺固定 0.2291km/pt+2次
04,04421,大和町,8,3,140.968786,38.416246,True,0.0,13.7,27.0,縮尺固定 0.2291km/pt+2次
05,05203,横手市,1,5,140.550302,39.308608,True,0.0,19.8,34.0,全体bbox+アフィン+2次
05,05203,横手市,2,5,140.551407,39.308612,True,0.0,15.0,34.0,全体bbox+アフィン+2次
05,05203,横手市,3,5,140.446315,39.325341,True,0.0,61.9,34.0,全体bbox+アフィン+2次
05,05203,横手市,4,5,140.446321,39.324482,True,0.0,61.7,34.0,全体bbox+アフィン+2次
05,05207,湯沢市,5,5,140.442176,39.148503,True,0.0,59.6,34.0,全体bbox+アフィン+2次
05,05207,湯沢市,6,5,140.444367,39.150231,True,0.0,17.5,34.0,全体bbox+アフィン+2次
05,05212,大仙市,7,5,140.478931,39.398444,True,0.0,11.3,34.0,全体bbox+アフィン+2次
05,05212,大仙市,8,5,140.475574,39.403579,True,0.0,46.3,34.0,全体bbox+アフィン+2次
05,05303,小坂町,9,3,140.753001,40.384545,True,0.0,13.7,34.0,全体bbox+アフィン+2次
06,06201,山形市,1,5,140.354556,38.270264,True,0.0,13.7,30.0,縮尺固定 0.2291km/pt+アフィン+2次
06,06201,山形市,2,5,140.290585,38.246083,True,0.0,35.9,30.0,縮尺固定 0.2291km/pt+アフィン+2次
06,06201,山形市,3,5,140.338032,38.218822,True,0.0,13.7,30.0,縮尺固定 0.2291km/pt+アフィン+2次
06,06205,新庄市,4,5,140.311275,38.750759,True,0.0,14.1,30.0,縮尺固定 0.2291km/pt+アフィン+2次
06,06205,新庄市,5,5,140.291084,38.774452,True,0.0,46.6,30.0,縮尺固定 0.2291km/pt+アフィン+2次
06,06207,上山市,6,5,140.283908,38.158225,True,0.0,13.7,30.0,縮尺固定 0.2291km/pt+アフィン+2次
06,06209,長井市,7,5,140.047508,38.07171,True,0.0,25.2,30.0,縮尺固定 0.2291km/pt+アフィン+2次
06,06210,天童市,8,5,140.379493,38.335144,True,0.0,13.7,30.0,縮尺固定 0.2291km/pt+アフィン+2次
06,06211,東根市,9,3,140.347497,38.424276,True,0.0,13.8,30.0,縮尺固定 0.2291km/pt+アフィン+2次
06,06213,南陽市,10,5,140.142585,38.072441,True,0.0,14.1,30.0,縮尺固定 0.2291km/pt+アフィン+2次
06,06302,中山町,11,3,140.226344,38.33945,True,0.0,13.7,30.0,縮尺固定 0.2291km/pt+アフィン+2次
06,06363,舟形町,12,2,140.275889,38.67762,True,0.0,14.1,30.0,縮尺固定 0.2291km/pt+アフィン+2次
07,07201,福島市,1,3,140.401984,37.741686,True,0.0,11.8,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07203,郡山市,2,5,140.416046,37.324508,True,0.0,63.2,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07203,郡山市,3,5,140.335786,37.404787,True,0.0,38.5,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07203,郡山市,4,1,140.529973,37.32845,True,0.0,34.5,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07203,郡山市,5,4,140.425361,37.371774,True,0.0,24.7,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07203,郡山市,6,5,140.525441,37.365349,True,0.0,7.0,34.0,縮尺固定 0.2645km/pt+アフィン+2次
